fid,objectid,area,perimeter,air_020107,air_20108,r_code,ind_name,aiana,aiana_desc,ind_source,ind_scale,entity,org_code,fed_regist,region_cod,region_nam,agency_nam,self_gover,osgt_code,osgt_assoc,native_cor,mail_name,state,cnty_st,tot_area,tribe_area,allot_area,fed_area,labor_tot,hsgrad_pct,colgrad_pc,unemploy_p,inc_percap,pop_tot,tribal_num,treaty,tribal_est,gov_type,econ_sourc,gaming,med_fac,sq_miles,acres,agency_cod,poi_on_ima,field_veri,shape_leng,shape_le_1,shape_le_2,irmp_plan,short_name,shape_le_3,shape_area
300,0,23067667.0755,113098.44953,310,10893,R183,Kootenai Reservation,AIR,American Indian Reservation,GDSC,"1:24,000",Kootenai Tribe of Idaho,P05183,true,NWT,Northwest,Northern Idaho Agency,true,OSGT183,,,Kootenai Tribe of Idaho,ID,Boundary ID,250,0,2000,250,36,73.2,0,8.3,4992,101,130,Hellgate Council 1855,Constitution ratified 1942,IRA tribal council headed by a chief,Agriculture; construction; government; retail; tourism,true,clinic,8.90644,5700.020581,P05,,,113098.448229,0,0,,,113098.448229,23067666.7227
301,0,1535327.08418,4474.217312,43,11160,Z268,Kotlik,ANV,Alaska Native Village,TIGER95,"1:100,000",Village of Kotlik,E02268,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Kotlik Yupik Corporation,AK,unorganized borough AK,115200,0,0,0,146,52.8,3,36.6,5355,461,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1970),Traditional council,Fishing; subsistence; government; retail; transportation,false,clinic,3.188246,379.3794,E02,,,4474.217325,0,0,,,4474.217325,1535327.08991
302,0,1535287.41896,4562.228817,18,11185,Z269,Kotzebue,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Kotzebue,E04269,true,ALA,Alaska,Nome Agency,true,OSGT269,,NANA Regional Corporation,Kikiktagruk Inupiat Corporation,AK,Northwest Arctic Borough AK,161260,0,0,0,1186,63.4,2.8,13.1,9387,2751,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1958),Indian Reorganization Act council,Retail; transportation; government; mining; oil exploration; fishing; subsistence; tourism,false,U.S. Public Health Service Medical Center,27.010527,379.369592,E04,,,4562.228783,0,0,,,4562.228783,1535287.39554
303,0,1535321.25967,4510.379518,34,11169,Z270,Koyuk,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Koyuk,E04270,true,ALA,Alaska,Nome Agency,true,OSGT816,"Kawerak, Inc.",Bering Straits Native Corporation,Koyuk Native Corporation,AK,unorganized borough AK,92160,0,0,0,83,67.3,0,37.3,5226,231,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1970),Indian Reorganization Act council,Subsistence; fishing; government; retail; tourism; transportation,false,clinic,4.497597,379.377964,E04,,,4510.379526,0,0,,,4510.379526,1535321.26786
304,0,1534038.91523,4507.807754,55,11148,Z271,Koyukuk,ANV,Alaska Native Village,TIGER95,"1:100,000",Koyukuk Native Village,E03271,true,ALA,Alaska,Fairbanks Field Office,true,OSGT817,Tanana Chiefs Conference,"Doyon, Ltd.","Gana-a'Yoo, Ltd.",AK,unorganized borough AK,92160,0,0,0,37,59,3.3,27,5462,126,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1973),Traditional village council headed by a chief,Government; public service; fishing; arts & crafts; retail,false,clinic,6.204525,379.060842,E03,,,4507.807771,0,0,,,4507.807771,1534038.90853
305,0,1534013.41696,4442.882331,99,11104,Z275,Kwethluk,ANV,Alaska Native Village,TIGER95,"1:100,000",Organized Village of Kwethluk,E02275,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,"Kwetnluk, Incorporated",AK,unorganized borough AK,138240,0,0,0,104,43.8,2.4,11.8,4452,558,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1975),Indian Reorganization Act council,Government;  fishing; subsistence; construction; retail; transportation,false,clinic,12.062392,379.054649,E02,,,4442.882309,0,0,,,4442.882309,1534013.3914
306,0,1534009.77228,4433.375386,101,11102,Z276,Kwigillingok,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Native Village of Kwigillingok,E02276,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,"Kwik, Incorporated",AK,unorganized borough AK,115200,0,0,0,84,62.2,3,9.2,4521,278,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Indian Reorganization Act council,Fishing; subsistence; government; retail; transportation,false,clinic,20.560915,379.053682,E02,,,4433.375368,0,0,,,4433.375368,1534009.767
307,0,1534039.74232,4432.381102,116,11087,Z407,Kwinhagak,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Kwinhagak (aka Quinhagak),E02407,true,ALA,Alaska,Bethel Field Office,true,OSGT002,,Calista Corporation,"Qanirtuuq, Inc.",AK,unorganized borough AK,115200,0,0,0,136,41.4,3.8,5.9,4770,501,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1975),Indian Reorganization Act village council,Subsistence; construction; fishing; government; retail; transportation,false,clinic,4.906789,379.061314,E02,,,4432.381082,0,0,,,4432.381082,1534039.7443
308,0,9858928.99901,13421.805194,1470,9733,R476,L'Anse (Ontonagon) Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Keweenaw Bay Indian Community, Michigan",F60475,true,MID,Midwest,Michigan Agency,false,,,,Keweenaw Bay Indian Community,MI,Ontonagon MI,0,0,0,0,0,0,0,0,0,0,0,1854,"IRA of 1934, constitution & bylaws adopted & approved in 1936",12 Member Tribal Council,"Construction, mfg., retail/service businesses, forestry, government as employer, tourism",true,PHS health care available at L'Anse,3.806538,2436.141415,F60,,,13421.805244,0,0,,,13421.805244,9858928.96247
309,0,264442903.344,91228.920638,1472,9731,R475,L'Anse Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Keweenaw Bay Indian Community, Michigan",F60475,true,MID,Midwest,Michigan Agency,false,,,,Keweenaw Bay Indian Community,MI,Baroga  MI,54561,7231,8665,0,480,0,0,0,0,803,2871,1854,"IRA of 1934, constitution & bylaws adopted & approved in 1936",12 Member Tribal Council,"Construction, mfg., retail/service businesses, forestry, government as employer, tourism",true,PHS health care available at L'Anse,102.101567,65343.843284,F60,,,91228.920676,0,0,,,91228.920676,264442903.503
310,0,451436.574503,3924.793023,1482,9721,R475,L'Anse Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Keweenaw Bay Indian Community, Michigan",F60475,true,MID,Midwest,Michigan Agency,false,,,,Keweenaw Bay Indian Community,MI,Baroga  MI,54561,7231,8665,0,480,0,0,0,0,803,2871,1854,"IRA of 1934, constitution & bylaws adopted & approved in 1936",12 Member Tribal Council,"Construction, mfg., retail/service businesses, forestry, government as employer, tourism",true,PHS health care available at L'Anse,0.1743,111.549946,F60,,,3924.79297,0,0,,,3924.79297,451436.55424
311,0,35083182.6578,44568.389184,9977,1155,R576,La Jolla Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000","La Jolla Band of Luiseno Mission Indians of the La Jolla Reservation, California",J54576,true,PAC,Pacific,Southern California Agency,false,,,,La Jolla Reservation,CA,San Diego CA,8541,0,634,0,31,66.7,6.3,19.4,4269,162,620,Executive Order 1875,Non-IRA Articles of Association 1962,Tribal Council headed by a chairperson; General Council (21+),Retail; tourism,false,Hospital in Escondido 25 miles west; clinic on Rincon Reservation,13.545637,8669.053778,J54,,,44568.389196,0,0,,,44568.389196,35083182.6183
312,0,14738157.2456,22951.738501,10732,382,R577,La Posta Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","La Posta Band of Diegueno Mission Indians of the La Posta Indian Reservation, California",J54577,true,PAC,Pacific,Southern California Agency,false,,,,La Posta Band of Mission Indians,CA,San Diego CA,3556,0,0,0,0,0,0,0,0,0,16,1893 under Act of 1891,IRA constitution approved 1973,General council headed by a chairperson,Tourism,false,clinic in Alpine,5.69041,3641.797948,J54,,,22951.738605,0,0,,,22951.738605,14738157.336
313,0,307591573.148,163163.835654,1696,9507,R431,Lac Courte Oreilles Reservation,AIR,American Indian Reservation,LTM,"1:24,000",Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,F55431,true,MID,Midwest,Great Lakes Agency,false,,,,Lac Courte Oreilles Ojibwa Tribe,WI,"Sawyer, WI",79000,3945,0,13190,2584,74,0,0,0,4037,5633,"1837, 1842, 1854 Treaties",,5 Member Tribal Council,"Farming, construction, retail/service businesses, forestry, government as employer, tourism",true,"Health, dental & optometry center",118.761291,76005.877857,F55,,,163163.835867,0,0,,,163163.835867,307591572.697
314,0,24641951.7653,95882.971585,1693,9510,R431,Lac Courte Oreilles Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000",Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,F55431,true,MID,Midwest,Great Lakes Agency,false,,,,Lac Courte Oreilles Ojibwa Tribe,WI,"Sawyer, WI",79000,3945,0,13190,2584,74,0,0,0,4037,5633,"1837, 1842, 1854 Treaties",,5 Member Tribal Council,"Farming, construction, retail/service businesses, forestry, government as employer, tourism",true,"Health, dental & optometry center",9.514275,6089.028177,F55,,,95882.972179,0,0,,,95882.972179,24641952.1474
315,0,352574253.261,79174.749414,1666,9537,R432,Lac du Flambeau Reservation,AIR,American Indian Reservation,LTM,"1:24,000",Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,F55432,true,MID,Midwest,Great Lakes Agency,false,,,,Lac du Flambeau Band of Lake Superior Chippewa Ind,WI,Iron; Vilas; Onieda  WI,44919,30542,14337,0,512,59,1.6,24.2,4152,2408,2706,"Treaty of September 30, 1854","Organized under 1934 IRA, established constitution & bylaws in 1936",12 Member Tribal Council,"Construction, tourism, fisheries, forestry, government as employer, mfg., retail/service businesses",true,"Chippewa Health Clinic, hospital in Woodruff",136.129134,87121.099982,F55,,,79174.749557,0,0,,,79174.749557,352574253.192
316,0,265692.942263,3493.672509,1600,9603,R479,Lac Vieux Desert Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan",F60479,true,MID,Midwest,Michigan Agency,false,,,,Lac Vieux Desert Band of Lake Superior Chippewa,MI,Gogebic  MI,250,250,0,0,75,39.7,0,32,6610,147,241,Public Law 100-420 in 1988,"1934 IRA, federal recognition in 1991",9 Member Tribal Council,"Forestry, government as employer, arts & crafts store, tourism, construction",true,Clinic & outside contracts,0.102584,65.652789,F60,,,3493.672352,0,0,,,3493.672352,265692.928397
317,0,2147835644.39,634939.231596,8719,2420,R707,Laguna Pueblo,AIR,American Indian Reservation,TIGER95,"1:100,000","Pueblo of Laguna, New Mexico",M21707,true,SWT,Southwest,Laguna Agency,false,,,,Pueblo of Laguna,NM,"Valencia, Bernalillo & Sandoval, NM",533000,480104,0,0,1353,72.5,4.1,19.4,6085,3845,7309,"Land grant confirmed & patented on November 7, 1906","Constitution adopted in revised form in 1958 following the IRA, revised again in 1982",21 member Tribal Council,"Agriculture, livestock, construction, government as employer, Laguna Industries, uranium mining,",true,"Health care furnished by Acoma-Canoncito-Laguna Hospital, center for elderly long-term care",837.616325,530730.181421,M21,,,634939.232652,0,0,,,634939.232651,2147835644.43
318,0,3906595972.43,320746.467599,1720,9483,R347,Lake Traverse (Sisseton) Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota (formerly the Sisseton-Wahpeton Sioux Tribe of the Lake Traverse Reservation)",A09347,true,GPL,Great Plains,Sisseton Agency,false,,,,Sisseton-Wahpeton Sioux Tribe,SD,"Roberts, Day, Codington, Marshall & Grant, SD/Sargent & Richland, ND",107245,26976,80269,0,909,63.7,3.6,23.7,4058,10840,9894,"Article III of the Treaty of February 19, 1867",1966 revised constitution & bylaws which replaced those of 1946,"15 member Tribal Council, 18 member Executive Council","Agriculture, livestock, construction, mfg., fisheries, government as employer, industrial park",true,"Health care provided by USPHS at hospital in Sisseton, hospitals also in Britton & Day",1508.339053,965319.867107,A09,,,320746.467963,0,0,,,320746.467963,3906595972.45
319,0,1532223.49061,4414.367219,200,11003,Z279,Larsen Bay,ANV,Alaska Native Village,TIGER95,"1:100,000",Native Village of Larsen Bay,E01279,true,ALA,Alaska,Anchorage Field Office,false,,,"Koniag, Inc.","Koniag, Inc.",AK,Kodiak Island Borough AK,115200,0,0,0,60,49.2,3.3,40,17655,147,0,Alaska Native Claims Settlement Act (1971),Incorporated as a second-class city (1974),Tribal council,Fishing; subsistence; government; retail; tourism; transportation,false,clinic,2.804348,378.612167,E01,,,4414.367211,0,0,,,4414.367211,1532223.48345
320,0,15991271.0475,17057.415387,7307,3884,R648,Las Vegas Colony,AIR,American Indian Reservation,TIGER95,"1:100,000","Las Vegas Tribe of Paiute Indians of the Las Vegas Indian Colony, Nevada",H69648,true,WES,Western,Southern Paiute Field Office,false,,,,,NV,"Clark, NV",3867,3867,0,0,30,52.9,0,0,6750,86,66,1911  10 acre gift from Helen J. Stewart,"1934 IRA, constitution & bylaws approved July 20, 1970",5 member Tribal Council,"Smokeshop, retail/service businesses",true,Community health services under joint resolution between Las Vegas & Moapa Paiute tribal council,6.174239,3951.442697,H69,,,17057.415395,0,0,,,17057.415395,15991271.0637
321,0,788800.855218,4093.343567,6239,4960,R524,Laytonville Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Cahto Indian Tribe of the Laytonville Rancheria, California",J51524,true,PAC,Pacific,Central California Agency,false,,,,Cahto Indian Tribe,CA,Mendocino CA,200,200,0,0,19,35.2,0,58.7,0,137,0,"The Act of June 21, 1906",Articles of Association approved 1967,Executive Committee elected by a General Council (21+) headed by a chairperson,Agriculture; government,false,clinic,0.304557,194.912772,J51,,,4093.343699,0,0,,,4093.343699,788800.966782
322,0,3330450056.19,511019.106913,1418,9785,R407,Leech Lake Reservation,AIR,American Indian Reservation,LTM,"1:24,000",Minnesota Chippewa Tribe - Leech Lake Band,F53407,true,MID,Midwest,Minnesota Agency,true,OSGT407,,,Leech Lake Tribal Council,MN,Beltrami;  Cass;  Hubbard; Itasca  MN,602880,21507,12639,0,1068,60.2,4.1,30.9,4705,3725,7173,"1855 and 1867, Executive Orders of 1873 and 1874",Constitution approved in 1937,5 member Elected Tribal Council,"Farming, construction, fisheries, forestry, government as employer, tourism",true,"Medical/dental health care available, hospital",1285.888758,822954.204726,F53,,,511019.107305,0,0,,,511019.107305,3330450056.76
323,0,777231.08518,8864.561094,1465,9738,R407,Leech Lake Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,LTM,"1:24,000",Minnesota Chippewa Tribe - Leech Lake Band,F53407,true,MID,Midwest,Minnesota Agency,true,OSGT407,,,Leech Lake Tribal Council,MN,Beltrami;  Cass;  Hubbard; Itasca  MN,602880,21507,12639,0,1068,60.2,4.1,30.9,4705,3725,7173,"1855 and 1867, Executive Orders of 1873 and 1874",Constitution approved in 1937,5 member Elected Tribal Council,"Farming, construction, fisheries, forestry, government as employer, tourism",true,"Medical/dental health care available, hospital",0.30009,192.054057,F53,,,8864.561285,0,0,,,8864.561285,777231.070045
324,0,1517168.70131,4404.534962,206,10997,Z531,Lesnoi,ANV,Alaska Native Village,TIGER95,"1:100,000",Lesnoi Village (aka Woody Island),E01531,true,ALA,Alaska,Anchorage Field Office,false,,,,Lesnoi Village,AK,AK,0,0,0,0,0,0,0,0,0,0,0,Alaska Native Claims Settlement Act (1971),,,,false,,1.736557,374.892353,E01,,,4404.53497,0,0,,,4404.53497,1517168.70299
325,0,1532131.15339,4425.118587,145,11058,Z283,Levelock,ANV,Alaska Native Village,TIGER95,"1:100,000",Levelock Village,E01283,true,ALA,Alaska,Anchorage Field Office,true,OSGT809,Bristol Bay Native Assn.,Bristol Bay Native Corporation,"Levelock Natives, Ltd.",AK,Lake and Peninsula Borough AK,96771,0,0,0,43,59.6,1.8,20.9,6082,105,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional village council,Fishing; government; retail,false,clinic,28.155091,378.589683,E01,,,4425.118624,0,0,,,4425.118624,1532131.17198
326,0,6263.241242,317.77751,5158,6041,RC36,Likely Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Pit River Tribe, California   - Likely Rancheria",J52536,true,PAC,Pacific,No. California Field Office,false,,,,Pit River Tribe,CA,Modoc CA,1,0,0,0,0,0,0,0,0,0,0,Act of 1906,Constitution approved 1986,Tribal council headed by a chairperson,,false,Clinic in Burney,0.002418,1.547677,J52,,,317.777348,0,0,,,317.777348,6263.235094
327,0,1534018.97869,4449.122347,132,11071,Z288,Lime Village,ANV,Alaska Native Village,CENSUS2000,"1:500,000",Lime Village,E02288,true,ALA,Alaska,Bethel Field Office,false,,,Calista Corporation,Lime Village Company,AK,unorganized borough AK,69120,0,0,0,22,30.8,7.7,13.6,5498,42,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Village council,Subsistence; public service; government; manufacturing,false,clinic,82.513898,379.055933,E02,,,4449.122332,0,0,,,4449.122332,1534018.96985
328,0,743402.704263,3823.775067,1969,9234,R482,Little River Band of Ottawa Indians of Michigan,AIR,American Indian Reservation,CENSUS2000,"1:500,000","Little River Band of Ottawa Indians, Michigan",F60482,true,MID,Midwest,Michigan Agency,false,,,,Little River Band of Ottawa Indians,MI,Manistee MI,0,0,0,0,0,0,0,0,0,0,0,,,,,true,,0.287028,183.694919,F60,,,3823.774951,0,0,,,3823.774951,743402.721532
329,0,34791.349303,1031.96127,1784,9419,R483,Little Traverse Bay Bands Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000","Little Traverse Bay Bands of Odawa Indians, Michigan",F60483,true,MID,Midwest,Michigan Agency,false,,,,Little Traverse Bay Bands of Odawa Indians,MI,Emmet; Charlevois; Delta; Schoocraft  MI,40,0,0,0,0,0,0,0,0,0,1000,1855 Treaty of Detroit,Public Law 103-324 in 1994 reaffirmed as a sovereign Indian nation,Tribal Council,"Expects federal assistance soon for elders housing, health services, education, tribal housing",true,Available within a 70-mile radius from headquarters,0.013433,8.597042,F60,,,1031.961394,0,0,,,1031.961394,34791.35788
330,0,930741.557836,4732.53166,7279,3919,R624,Lone Pine Reservation,AIR,American Indian Reservation,TIGER95,"1:100,000",Paiute-Shoshone Indians of the Lone Pine Community,J51624,true,PAC,Pacific,Central California Agency,false,,,,Paiute-Shoshone Indians of Lone Pine Community,CA,Inyo CA,237,0,0,0,68,68.4,0,23.5,5433,235,1400,Executive Order 1912,Rehabilitation Trust Agreement 1939 & Assignment Ordinance 1939,Owens Valley Board of Trustees & tribal council headed by a chairperson,,false,clinic,0.359359,229.985952,J51,,,4732.531514,0,0,,,4732.531514,930741.487675
331,0,165115.321774,1624.320924,4103,7096,RD36,Lookout Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Pit River Tribe, California   - Lookout Rancheria",J52536,true,PAC,Pacific,No. California Field Office,false,,,,Pit River Tribe,CA,Modoc CA,40,0,0,0,28,80,0,25,7918,62,0,Acts of 1906,IRA constitution 1987,Tribal council headed by a chairperson,Forestry; retail; government,false,USPHS Modoc Indian Health Center in Alturas; clinic in Burney,0.063751,40.79988,J52,,,1624.320948,0,0,,,1624.320948,165115.33412
332,0,100464293.201,56048.965686,10020,1112,R578,Los Coyotes Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Los Coyotes Band of Cahuilla & Cupeno Indians of the Los Coyotes Reservation, California(formerly the Los Coyotes Band of Cahuilla Mission Indians of",J54578,true,PAC,Pacific,Southern California Agency,false,,,,Los Coyotes Band of Mission Indians,CA,San Diego CA,25050,0,0,0,34,61.4,0,0,6625,181,212,Executive Order 1889,Articles of Association,General Council (21+),Agriculture; forestry; tourism,false,clinic in Rincon 20 miles from the reservation,38.789324,24824.727137,J54,,,56048.965673,0,0,,,56048.965673,100464293.279
333,0,24425737.9367,20809.451645,6275,4924,R649,Lovelock Indian Colony,AIR,American Indian Reservation,TIGER95,"1:100,000","Lovelock Piaute Tribe of the Lovelock Indian Colony, Nevada",H61649,true,WES,Western,Western Nevada Agency,false,,,,Lovelock Paiute Tribe,NV,"Pershing, NV",20,20,0,0,31,61.5,0,0,5422,92,329,"November 1, 1907  20 acres allotted by secretary of interior",Constitution & bylaws adopted in 1968,3 member Tribal Council,"Agriculture, mining, smokeshop, retail commercial establishments within commuting distances",false,Monthly clinic at Pershing General Hospital,9.430791,6035.599338,H61,,,20809.451621,0,0,,,20809.451621,24425738.07
334,0,990363608.187,225716.198621,11054,9162,R343,Lower Brule Reservation,AIR,American Indian Reservation,LTM,"1:24,000","Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",A15343,true,GPL,Great Plains,Lower Brule Agency,false,,,,Lower Brule Sioux Tribal Council,SD,"Lyman & Stanley, SD",240000,0,0,0,360,64.8,5.8,15.8,4850,1095,0,Fort Laramie Treaty of 1868,"Chartered under Act of June 18, 1934, constitution ratified July 11, 1936, bylaws approved in 1960",6 member Tribal Council,"Farming, ranching, tourism, government as employer, retail/service businesses",true,"IHS provides health care at local health facilities, hospitals in Chamberlain & Pierre",382.379981,244718.846172,A15,,,225716.198696,0,0,,,225716.198696,990363608.063
335,0,14151956.9843,27667.387226,2053,9147,R343,Lower Brule Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",A15343,true,GPL,Great Plains,Lower Brule Agency,false,,,,Lower Brule Sioux Tribal Council,SD,"Lyman & Stanley, SD",240000,0,0,0,360,64.8,5.8,15.8,4850,1095,0,Fort Laramie Treaty of 1868,"Chartered under Act of June 18, 1934, constitution ratified July 11, 1936, bylaws approved in 1960",6 member Tribal Council,"Farming, ranching, tourism, government as employer, retail/service businesses",true,"IHS provides health care at local health facilities, hospitals in Chamberlain & Pierre",5.464081,3496.949994,A15,,,27667.387488,0,0,,,27667.387488,14151956.9557
336,0,1745233.57106,13087.006845,287,10916,R125,Lower Elwha Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Lower Elwha Tribal Community of the Lower Elwah Reservation, Washington",P06125,true,NWT,Northwest,Olympic Peninsula Agency,true,OSGT125,,,Lower Elwha Klallam Tribal Council,WA,Clallam WA,443,0,0,0,35,36.7,0,48.6,5159,112,0,1968,Constitution & bylaws approved in 1968,Tribal Council,Construction; fishing; government; retail; tourism,true,clinic,0.673836,431.247218,P06,,,13087.007006,0,0,,,13087.007006,1745233.52292
337,0,1535280.64592,4452.526412,89,11114,Z291,Lower Kalskag,ANV,Alaska Native Village,TIGER95,"1:100,000",Village of Lower Kalskag,E02291,true,ALA,Alaska,Bethel Field Office,true,OSGT812,Assoc. Village Council Presidents,Calista Corporation,Kuskokwim Corporation,AK,unorganized borough AK,92160,0,0,0,58,41.2,0,37.9,3104,291,0,Alaska Native Claims Settlement Act (1971),Unincorporated,Traditional village council,Subsistence; government; fishing; public service; retail,false,clinic,1.706366,379.367941,E02,,,4452.526416,0,0,,,4452.526416,1535280.64539
338,0,9797.56926,395.939726,6347,4851,T639,Lower Lake Rancheria,FRTE,Federally Recognized Tribal Entity,GDSC,"1:24,000","Lower Lake Rancheria, California",J51639,true,PAC,Pacific,Central California Agency,false,,,,Lower Lake Rancheria,CA,Sonoma CA,0,0,0,0,0,0,0,0,0,0,0,,,,,false,,0.003783,2.420927,J51,,,395.9398,0,0,,,395.9398,9797.572966
339,0,7345142.77826,18238.173759,1988,9215,R402,Lower Sioux Reservation,AIR,American Indian Reservation,LTM,"1:24,000",Lower Sioux Indian Community in the State of Minnesota,F57402,true,MID,Midwest,Midwest Regional Office,false,,,,Lower Sioux Reservation,MN,Redwood MN,1743,1743,0,0,72,46.5,1.2,8.3,4736,241,0,1988,1934 IRA; Constitution & bylaws approved in 1936; corporate charter in 1937,5 Member Tribal Council,"Agriculture, government as employer, pottery manufacturing, tourism",true,Health center/clinic,2.835964,1814.98466,F57,,,18238.173497,0,0,,,18238.173497,7345142.73957
340,0,52633482.632,69987.37891,237,10966,R107,Lummi Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Lummi Tribe of the Lummi Reservation, Washington",P10107,true,NWT,Northwest,Puget Sound Field Office,true,OSGT107,,,Lummi Indian Nation,WA,Whatcon WA,21000,0,11300,0,588,64.8,3.7,22.6,5466,3164,0,Point Elliot Treaty of 1855,Non IRA constitution adopted 1970,Tribal Business Council elected by the General Council (all adults members of the tribe),Agriculture; fishing; forestry; government; retail; tourism,false,clinic,20.32182,13005.733825,P10,,,69987.378958,0,0,,,69987.378958,52633482.5892
341,0,9797.212816,395.932572,6342,4856,R509,Lytton Rancheria of California,FRTE,Federally Recognized Tribal Entity,GDSC,"1:100,000",Lytton Rancheria of California,J51509,true,PAC,Pacific,Central California Agency,false,,,,Lytton Rancheria,CA,Sonoma CA,0,0,0,0,0,0,0,0,0,0,0,,,,,false,,0.003783,2.420927,J51,,,395.9326,0,0,,,395.9326,9797.214213
342,0,110998910.955,79197.938653,239,10964,R108,Makah Reservation,AIR,American Indian Reservation,GDSC,"1:24,000","Makah Indian Tribe of the Makah Indian Reservation, Washington",P06108,true,NWT,Northwest,Makah Field Office,true,OSGT108,,,Makah Tribal Council,WA,Clallam WA,27950,27950,0,27950,373,64.8,11.4,15.5,6494,1238,1870,Treaty of Neah Bay 1855,IRA constitution adopted 1937,Tribal Council headed by a chairperson,Agriculture; fishing; forestry; government; retail; tourism,true,clinic; nearest hospital in Port Angeles 70 miles east,42.856746,27427.831008,P06,,,79197.938508,0,0,,,79197.938508,110998911.014
343,0,2996088.27194,8155.12158,279,10924,R108,Makah Reservation (Ozette),AIR,American Indian Reservation,GDSC,"1:24,000","Makah Indian Tribe of the Makah Indian Reservation, Washington",P06108,true,NWT,Northwest,Makah Field Office,true,OSGT108,,,Makah Tribal Council,WA,Clallam WA,27950,27950,0,27950,373,64.8,11.4,15.5,6494,1238,1870,Treaty of Neah Bay 1855,IRA constitution adopted 1937,Tribal Council headed by a chairperson,Agriculture; fishing; forestry; government; retail; tourism,true,clinic; nearest hospital in Port Angeles 70 miles east,1.156791,740.333309,P06,,,8155.1216,0,0,,,8155.1216,2996088.32686
344,0,7736762.30346,26095.675053,275,10928,R108,Makah Trust Land,ORTL,Trust Land related to a Federally Recognized Reservation,CENSUS2000,"1:500,000","Makah Indian Tribe of the Makah Indian Reservation, Washington",P06108,true,NWT,Northwest,Makah Field Office,true,OSGT108,,,Makah Tribal Council,WA,Clallam WA,27950,27950,0,27950,373,64.8,11.4,15.5,6494,1238,1870,Treaty of Neah Bay 1855,IRA constitution adopted 1937,Tribal Council headed by a chairperson,Agriculture; fishing; forestry; government; retail; tourism,true,clinic; nearest hospital in Port Angeles 70 miles east,2.987167,1911.753166,P06,,,26095.674657,0,0,,,26095.674657,7736762.25145
345,0,1519285.06506,7906.685476,6304,4895,R527,Manchester - Point Arena Rancheria,AIR,American Indian Reservation,TIGER95,"1:100,000","Manchester Band of Pomo Indians of the Manchester-Point Arena Rancheria, California",J51527,true,PAC,Pacific,Central California Agency,false,,,,Manchester Point Rancheria,CA,Mendocino CA,52,0,0,0,0,35.6,0,50,4152,212,0,,,,,false,,0.586597,375.415454,J51,,,7906.685497,0,0,,,7906.685497,1519285.10934
